Name,Gender,BornYear,Count
Roger,M,1923,1889
Roger,M,1924,2054
Roger,M,1925,2099
Roger,M,1926,2260
Roger,M,1927,2409
Roger,M,1928,2774
Roger,M,1929,2926
Roger,M,1930,3247
Roger,M,1931,3625
Roger,M,1932,3785
Roger,M,1933,3916
Roger,M,1934,4766
Roger,M,1935,5150
Roger,M,1936,5704
Roger,M,1937,5708
Roger,M,1938,6555
Roger,M,1939,7151
Roger,M,1940,7599
Roger,M,1941,8093
Roger,M,1942,9173
Roger,M,1943,10764
Roger,M,1944,10577
Roger,M,1945,10569
Roger,M,1946,12413
Roger,M,1947,12760
Roger,M,1948,12814
Roger,M,1949,12819
Roger,M,1950,12552
Roger,M,1951,12417
Roger,M,1952,12130
Roger,M,1953,13165
Roger,M,1954,11701
Roger,M,1955,10961
Roger,M,1956,10146
Roger,M,1957,9860
Roger,M,1958,8375
Roger,M,1959,8782
Roger,M,1960,9032
Roger,M,1961,9653
Roger,M,1962,9074
Roger,M,1963,7755
Roger,M,1964,7387
Roger,M,1965,6433
Roger,M,1966,6303
Roger,M,1967,5721
Roger,M,1968,5188
Roger,M,1969,4909
Roger,M,1970,4586
Roger,M,1971,4133
Roger,M,1972,3538
Roger,M,1973,3158
Roger,M,1974,2757
Roger,M,1975,2621
Roger,M,1976,2465
Roger,M,1977,2312
Roger,M,1978,2142
Roger,M,1979,2027
Roger,M,1980,2076
Roger,M,1981,2243
Roger,M,1982,2167
Roger,M,1983,1868
Roger,M,1984,1716
Roger,M,1985,1705
Roger,M,1986,1608
Roger,M,1987,1558
Roger,M,1988,1574
Roger,M,1989,1477
Roger,M,1990,1456
Roger,M,1991,1295
Roger,M,1992,1438
Roger,M,1993,1132
Roger,M,1994,1071
Roger,M,1995,1001
Roger,M,1996,956
Roger,M,1997,804
Roger,M,1998,768
Roger,M,1999,730
Roger,M,2000,699
Roger,M,2001,719
Roger,M,2002,676
Roger,M,2003,664
Roger,M,2004,630
Roger,M,2005,644
Roger,M,2006,594
Roger,M,2007,582
Roger,M,2008,596
Roger,M,2009,548
Roger,M,2010,503
Roger,M,2011,476
Roger,M,2012,458
Roger,M,2013,471
Roger,M,2014,474
Roger,M,2015,477
