Name,Gender,BornYear,Count
Lawrence,M,1923,5915
Lawrence,M,1924,5774
Lawrence,M,1925,5632
Lawrence,M,1926,5584
Lawrence,M,1927,5571
Lawrence,M,1928,5590
Lawrence,M,1929,5306
Lawrence,M,1930,5636
Lawrence,M,1931,5367
Lawrence,M,1932,5295
Lawrence,M,1933,4906
Lawrence,M,1934,5325
Lawrence,M,1935,5348
Lawrence,M,1936,5341
Lawrence,M,1937,5505
Lawrence,M,1938,5871
Lawrence,M,1939,5882
Lawrence,M,1940,6172
Lawrence,M,1941,6651
Lawrence,M,1942,7638
Lawrence,M,1943,7579
Lawrence,M,1944,7126
Lawrence,M,1945,7165
Lawrence,M,1946,8514
Lawrence,M,1947,9582
Lawrence,M,1948,9763
Lawrence,M,1949,10251
Lawrence,M,1950,10183
Lawrence,M,1951,10251
Lawrence,M,1952,10299
Lawrence,M,1953,9840
Lawrence,M,1954,9604
Lawrence,M,1955,9133
Lawrence,M,1956,8879
Lawrence,M,1957,8742
Lawrence,M,1958,7532
Lawrence,M,1959,6608
Lawrence,M,1960,6385
Lawrence,M,1961,6085
Lawrence,M,1962,5616
Lawrence,M,1963,5710
Lawrence,M,1964,5457
Lawrence,M,1965,4963
Lawrence,M,1966,4653
Lawrence,M,1967,4344
Lawrence,M,1968,4104
Lawrence,M,1969,4052
Lawrence,M,1970,3823
Lawrence,M,1971,3526
Lawrence,M,1972,2826
Lawrence,M,1973,2526
Lawrence,M,1974,2545
Lawrence,M,1975,2364
Lawrence,M,1976,2253
Lawrence,M,1977,2311
Lawrence,M,1978,2246
Lawrence,M,1979,2260
Lawrence,M,1980,2170
Lawrence,M,1981,2193
Lawrence,M,1982,2133
Lawrence,M,1983,2027
Lawrence,M,1984,1869
Lawrence,M,1985,1942
Lawrence,M,1986,1788
Lawrence,M,1987,1896
Lawrence,M,1988,1859
Lawrence,M,1989,1752
Lawrence,M,1990,1779
Lawrence,M,1991,1732
Lawrence,M,1992,1615
Lawrence,M,1993,1551
Lawrence,M,1994,1267
Lawrence,M,1995,1149
Lawrence,M,1996,1115
Lawrence,M,1997,985
Lawrence,M,1998,1040
Lawrence,M,1999,917
Lawrence,M,2000,888
Lawrence,M,2001,810
Lawrence,M,2002,793
Lawrence,M,2003,817
Lawrence,M,2004,768
Lawrence,M,2005,725
Lawrence,M,2006,728
Lawrence,M,2007,771
Lawrence,M,2008,676
Lawrence,M,2009,635
Lawrence,M,2010,579
Lawrence,M,2011,591
Lawrence,M,2012,599
Lawrence,M,2013,584
Lawrence,M,2014,632
Lawrence,M,2015,580
