Name,Gender,BornYear,Count
Roy,M,1923,6317
Roy,M,1924,6552
Roy,M,1925,6374
Roy,M,1926,6229
Roy,M,1927,6384
Roy,M,1928,6225
Roy,M,1929,5812
Roy,M,1930,5913
Roy,M,1931,5487
Roy,M,1932,5234
Roy,M,1933,4902
Roy,M,1934,5104
Roy,M,1935,4939
Roy,M,1936,4817
Roy,M,1937,4887
Roy,M,1938,5038
Roy,M,1939,5151
Roy,M,1940,5563
Roy,M,1941,5945
Roy,M,1942,6308
Roy,M,1943,6931
Roy,M,1944,6529
Roy,M,1945,6179
Roy,M,1946,6918
Roy,M,1947,7564
Roy,M,1948,7062
Roy,M,1949,6621
Roy,M,1950,6461
Roy,M,1951,6455
Roy,M,1952,6529
Roy,M,1953,6650
Roy,M,1954,6500
Roy,M,1955,6317
Roy,M,1956,6129
Roy,M,1957,6058
Roy,M,1958,5526
Roy,M,1959,5176
Roy,M,1960,5249
Roy,M,1961,4963
Roy,M,1962,4476
Roy,M,1963,4437
Roy,M,1964,4147
Roy,M,1965,3786
Roy,M,1966,3521
Roy,M,1967,3274
Roy,M,1968,3181
Roy,M,1969,3003
Roy,M,1970,3039
Roy,M,1971,2960
Roy,M,1972,2479
Roy,M,1973,2237
Roy,M,1974,2187
Roy,M,1975,2123
Roy,M,1976,1872
Roy,M,1977,1913
Roy,M,1978,1800
Roy,M,1979,1753
Roy,M,1980,1778
Roy,M,1981,1726
Roy,M,1982,1616
Roy,M,1983,1453
Roy,M,1984,1382
Roy,M,1985,1380
Roy,M,1986,1283
Roy,M,1987,1258
Roy,M,1988,1163
Roy,M,1989,1257
Roy,M,1990,1224
Roy,M,1991,1126
Roy,M,1992,991
Roy,M,1993,896
Roy,M,1994,860
Roy,M,1995,731
Roy,M,1996,718
Roy,M,1997,747
Roy,M,1998,653
Roy,M,1999,637
Roy,M,2000,635
Roy,M,2001,571
Roy,M,2002,564
Roy,M,2003,569
Roy,M,2004,542
Roy,M,2005,529
Roy,M,2006,596
Roy,M,2007,534
Roy,M,2008,551
Roy,M,2009,472
Roy,M,2010,453
Roy,M,2011,443
Roy,M,2012,461
Roy,M,2013,507
Roy,M,2014,519
Roy,M,2015,527
