Name,Gender,BornYear,Count
Grace,F,1923,6316
Grace,F,1924,6328
Grace,F,1925,5982
Grace,F,1926,5428
Grace,F,1927,5302
Grace,F,1928,4992
Grace,F,1929,4567
Grace,F,1930,4217
Grace,F,1931,3712
Grace,F,1932,3536
Grace,F,1933,3327
Grace,F,1934,3087
Grace,F,1935,2996
Grace,F,1936,2789
Grace,F,1937,2710
Grace,F,1938,2609
Grace,F,1939,2370
Grace,F,1940,2385
Grace,F,1941,2103
Grace,F,1942,2157
Grace,F,1943,2121
Grace,F,1944,1926
Grace,F,1945,1746
Grace,F,1946,1763
Grace,F,1947,1883
Grace,F,1948,1678
Grace,F,1949,1609
Grace,F,1950,1512
Grace,F,1951,1578
Grace,F,1952,1524
Grace,F,1953,1379
Grace,F,1954,1412
Grace,F,1955,1387
Grace,F,1956,1838
Grace,F,1957,1919
Grace,F,1958,1706
Grace,F,1959,1660
Grace,F,1960,1568
Grace,F,1961,1443
Grace,F,1962,1329
Grace,F,1963,1272
Grace,F,1964,1212
Grace,F,1965,1115
Grace,F,1966,937
Grace,F,1967,896
Grace,F,1968,751
Grace,F,1969,697
Grace,F,1970,777
Grace,F,1971,680
Grace,F,1972,606
Grace,F,1973,606
Grace,F,1974,533
Grace,F,1975,568
Grace,F,1976,527
Grace,F,1977,526
Grace,F,1978,588
Grace,F,1979,690
Grace,F,1980,757
Grace,F,1981,831
Grace,F,1982,950
Grace,F,1983,998
Grace,F,1984,1016
Grace,F,1985,1062
Grace,F,1986,1156
Grace,F,1987,1376
Grace,F,1988,1706
Grace,F,1989,1927
Grace,F,1990,2186
Grace,F,1991,2385
Grace,F,1992,2654
Grace,F,1993,2701
Grace,F,1994,3171
Grace,F,1995,3471
Grace,F,1996,3742
Grace,F,1997,4638
Grace,F,1998,5718
Grace,F,1999,9178
Grace,F,2000,11283
Grace,F,2001,12085
Grace,F,2002,12053
Grace,F,2003,12771
Grace,F,2004,12528
Grace,F,2005,11860
Grace,F,2006,10965
Grace,F,2007,9761
Grace,F,2008,9032
Grace,F,2009,8307
Grace,F,2010,7676
Grace,F,2011,7627
Grace,F,2012,7365
Grace,F,2013,7354
Grace,F,2014,7602
Grace,F,2015,7589
