Name,Gender,BornYear,Count
Joe,M,1923,6005
Joe,M,1924,6046
Joe,M,1925,6106
Joe,M,1926,6339
Joe,M,1927,6538
Joe,M,1928,6678
Joe,M,1929,6597
Joe,M,1930,6874
Joe,M,1931,6444
Joe,M,1932,6698
Joe,M,1933,6411
Joe,M,1934,7084
Joe,M,1935,7553
Joe,M,1936,8022
Joe,M,1937,7742
Joe,M,1938,7437
Joe,M,1939,7192
Joe,M,1940,7221
Joe,M,1941,7146
Joe,M,1942,7385
Joe,M,1943,7306
Joe,M,1944,7057
Joe,M,1945,6626
Joe,M,1946,7536
Joe,M,1947,7898
Joe,M,1948,7290
Joe,M,1949,6528
Joe,M,1950,6037
Joe,M,1951,5827
Joe,M,1952,5890
Joe,M,1953,5798
Joe,M,1954,5860
Joe,M,1955,5854
Joe,M,1956,6124
Joe,M,1957,6763
Joe,M,1958,7063
Joe,M,1959,7389
Joe,M,1960,7312
Joe,M,1961,7056
Joe,M,1962,6782
Joe,M,1963,6384
Joe,M,1964,5812
Joe,M,1965,4838
Joe,M,1966,4332
Joe,M,1967,3717
Joe,M,1968,3528
Joe,M,1969,3622
Joe,M,1970,3572
Joe,M,1971,3152
Joe,M,1972,2823
Joe,M,1973,2521
Joe,M,1974,2346
Joe,M,1975,2238
Joe,M,1976,2170
Joe,M,1977,2122
Joe,M,1978,2036
Joe,M,1979,1964
Joe,M,1980,1988
Joe,M,1981,1861
Joe,M,1982,1871
Joe,M,1983,1614
Joe,M,1984,1592
Joe,M,1985,1592
Joe,M,1986,1537
Joe,M,1987,1488
Joe,M,1988,1472
Joe,M,1989,1492
Joe,M,1990,1459
Joe,M,1991,1464
Joe,M,1992,1392
Joe,M,1993,1254
Joe,M,1994,1204
Joe,M,1995,1075
Joe,M,1996,1055
Joe,M,1997,1012
Joe,M,1998,1005
Joe,M,1999,967
Joe,M,2000,917
Joe,M,2001,958
Joe,M,2002,917
Joe,M,2003,898
Joe,M,2004,819
Joe,M,2005,795
Joe,M,2006,807
Joe,M,2007,731
Joe,M,2008,722
Joe,M,2009,605
Joe,M,2010,592
Joe,M,2011,532
Joe,M,2012,491
Joe,M,2013,473
Joe,M,2014,488
Joe,M,2015,457
