Name,Gender,BornYear,Count
Billy,M,1923,2489
Billy,M,1924,3271
Billy,M,1925,4206
Billy,M,1926,5185
Billy,M,1927,6462
Billy,M,1928,7309
Billy,M,1929,8321
Billy,M,1930,9289
Billy,M,1931,9259
Billy,M,1932,9429
Billy,M,1933,8934
Billy,M,1934,9558
Billy,M,1935,9238
Billy,M,1936,8587
Billy,M,1937,8297
Billy,M,1938,8246
Billy,M,1939,7469
Billy,M,1940,7593
Billy,M,1941,7660
Billy,M,1942,7305
Billy,M,1943,7015
Billy,M,1944,6537
Billy,M,1945,6017
Billy,M,1946,6716
Billy,M,1947,6928
Billy,M,1948,6218
Billy,M,1949,5820
Billy,M,1950,5676
Billy,M,1951,5604
Billy,M,1952,5712
Billy,M,1953,5843
Billy,M,1954,6035
Billy,M,1955,5759
Billy,M,1956,6012
Billy,M,1957,6148
Billy,M,1958,6146
Billy,M,1959,6307
Billy,M,1960,6014
Billy,M,1961,6027
Billy,M,1962,5583
Billy,M,1963,5235
Billy,M,1964,5192
Billy,M,1965,4652
Billy,M,1966,4182
Billy,M,1967,3983
Billy,M,1968,3813
Billy,M,1969,3777
Billy,M,1970,4124
Billy,M,1971,3909
Billy,M,1972,3469
Billy,M,1973,3444
Billy,M,1974,3366
Billy,M,1975,3112
Billy,M,1976,3157
Billy,M,1977,2948
Billy,M,1978,2696
Billy,M,1979,2999
Billy,M,1980,2991
Billy,M,1981,2883
Billy,M,1982,2528
Billy,M,1983,2149
Billy,M,1984,1947
Billy,M,1985,1831
Billy,M,1986,1683
Billy,M,1987,1622
Billy,M,1988,1510
Billy,M,1989,1505
Billy,M,1990,1438
Billy,M,1991,1356
Billy,M,1992,1282
Billy,M,1993,1353
Billy,M,1994,1124
Billy,M,1995,1063
Billy,M,1996,948
Billy,M,1997,814
Billy,M,1998,813
Billy,M,1999,748
Billy,M,2000,670
Billy,M,2001,676
Billy,M,2002,582
Billy,M,2003,600
Billy,M,2004,565
Billy,M,2005,560
Billy,M,2006,565
Billy,M,2007,546
Billy,M,2008,458
Billy,M,2009,442
Billy,M,2010,390
Billy,M,2011,395
Billy,M,2012,355
Billy,M,2013,346
Billy,M,2014,287
Billy,M,2015,281
