Name,Gender,BornYear,Count
Alice,F,1923,11331
Alice,F,1924,11538
Alice,F,1925,11572
Alice,F,1926,10953
Alice,F,1927,10679
Alice,F,1928,10140
Alice,F,1929,9478
Alice,F,1930,9517
Alice,F,1931,8815
Alice,F,1932,8532
Alice,F,1933,7695
Alice,F,1934,7782
Alice,F,1935,7445
Alice,F,1936,7198
Alice,F,1937,7123
Alice,F,1938,7488
Alice,F,1939,7369
Alice,F,1940,7600
Alice,F,1941,7445
Alice,F,1942,7378
Alice,F,1943,7648
Alice,F,1944,7103
Alice,F,1945,6358
Alice,F,1946,7364
Alice,F,1947,7845
Alice,F,1948,6981
Alice,F,1949,6659
Alice,F,1950,6364
Alice,F,1951,6311
Alice,F,1952,5913
Alice,F,1953,5744
Alice,F,1954,5267
Alice,F,1955,5070
Alice,F,1956,4683
Alice,F,1957,4435
Alice,F,1958,4127
Alice,F,1959,4152
Alice,F,1960,4050
Alice,F,1961,3582
Alice,F,1962,3253
Alice,F,1963,3066
Alice,F,1964,2839
Alice,F,1965,2567
Alice,F,1966,2221
Alice,F,1967,1929
Alice,F,1968,1730
Alice,F,1969,1716
Alice,F,1970,1620
Alice,F,1971,1506
Alice,F,1972,1199
Alice,F,1973,1188
Alice,F,1974,1179
Alice,F,1975,1055
Alice,F,1976,955
Alice,F,1977,858
Alice,F,1978,792
Alice,F,1979,777
Alice,F,1980,738
Alice,F,1981,745
Alice,F,1982,746
Alice,F,1983,699
Alice,F,1984,686
Alice,F,1985,668
Alice,F,1986,707
Alice,F,1987,770
Alice,F,1988,821
Alice,F,1989,741
Alice,F,1990,771
Alice,F,1991,724
Alice,F,1992,686
Alice,F,1993,684
Alice,F,1994,594
Alice,F,1995,579
Alice,F,1996,592
Alice,F,1997,578
Alice,F,1998,593
Alice,F,1999,650
Alice,F,2000,668
Alice,F,2001,631
Alice,F,2002,654
Alice,F,2003,699
Alice,F,2004,755
Alice,F,2005,753
Alice,F,2006,843
Alice,F,2007,949
Alice,F,2008,1024
Alice,F,2009,1274
Alice,F,2010,1778
Alice,F,2011,2192
Alice,F,2012,2499
Alice,F,2013,2932
Alice,F,2014,3051
Alice,F,2015,3395
