Name,Gender,BornYear,Count
Doris,F,1923,14610
Doris,F,1924,15785
Doris,F,1925,16075
Doris,F,1926,16299
Doris,F,1927,16511
Doris,F,1928,16567
Doris,F,1929,16496
Doris,F,1930,15467
Doris,F,1931,13621
Doris,F,1932,12909
Doris,F,1933,12021
Doris,F,1934,11624
Doris,F,1935,10604
Doris,F,1936,9221
Doris,F,1937,8881
Doris,F,1938,8604
Doris,F,1939,7683
Doris,F,1940,7765
Doris,F,1941,7078
Doris,F,1942,7175
Doris,F,1943,7128
Doris,F,1944,6323
Doris,F,1945,5822
Doris,F,1946,5986
Doris,F,1947,6028
Doris,F,1948,5547
Doris,F,1949,5282
Doris,F,1950,5056
Doris,F,1951,5017
Doris,F,1952,4951
Doris,F,1953,4902
Doris,F,1954,4454
Doris,F,1955,4243
Doris,F,1956,4091
Doris,F,1957,3729
Doris,F,1958,3312
Doris,F,1959,3139
Doris,F,1960,2900
Doris,F,1961,2570
Doris,F,1962,2377
Doris,F,1963,2126
Doris,F,1964,1932
Doris,F,1965,1625
Doris,F,1966,1419
Doris,F,1967,1176
Doris,F,1968,1023
Doris,F,1969,1040
Doris,F,1970,863
Doris,F,1971,751
Doris,F,1972,606
Doris,F,1973,479
Doris,F,1974,456
Doris,F,1975,384
Doris,F,1976,352
Doris,F,1977,339
Doris,F,1978,331
Doris,F,1979,285
Doris,F,1980,297
Doris,F,1981,271
Doris,F,1982,272
Doris,F,1983,248
Doris,F,1984,244
Doris,F,1985,264
Doris,F,1986,211
Doris,F,1987,227
Doris,F,1988,225
Doris,F,1989,207
Doris,F,1990,230
Doris,F,1991,214
Doris,F,1992,225
Doris,F,1993,179
Doris,F,1994,169
Doris,F,1995,145
Doris,F,1996,128
Doris,F,1997,118
Doris,F,1998,121
Doris,F,1999,116
Doris,F,2000,105
Doris,F,2001,108
Doris,F,2002,91
Doris,F,2003,90
Doris,F,2004,101
Doris,F,2005,92
Doris,F,2006,89
Doris,F,2007,92
Doris,F,2008,94
Doris,F,2009,81
Doris,F,2010,67
Doris,F,2011,75
Doris,F,2012,102
Doris,F,2013,81
Doris,F,2014,122
Doris,F,2015,85
