Name,Gender,BornYear,Count
Alexander,M,1923,1293
Alexander,M,1924,1382
Alexander,M,1925,1223
Alexander,M,1926,1151
Alexander,M,1927,1093
Alexander,M,1928,1048
Alexander,M,1929,986
Alexander,M,1930,872
Alexander,M,1931,792
Alexander,M,1932,775
Alexander,M,1933,660
Alexander,M,1934,616
Alexander,M,1935,700
Alexander,M,1936,613
Alexander,M,1937,676
Alexander,M,1938,665
Alexander,M,1939,723
Alexander,M,1940,761
Alexander,M,1941,818
Alexander,M,1942,860
Alexander,M,1943,925
Alexander,M,1944,865
Alexander,M,1945,890
Alexander,M,1946,965
Alexander,M,1947,1080
Alexander,M,1948,1131
Alexander,M,1949,1188
Alexander,M,1950,1166
Alexander,M,1951,1210
Alexander,M,1952,1288
Alexander,M,1953,1257
Alexander,M,1954,1238
Alexander,M,1955,1173
Alexander,M,1956,1241
Alexander,M,1957,1259
Alexander,M,1958,1188
Alexander,M,1959,1167
Alexander,M,1960,1203
Alexander,M,1961,1229
Alexander,M,1962,1225
Alexander,M,1963,1308
Alexander,M,1964,1291
Alexander,M,1965,1330
Alexander,M,1966,1370
Alexander,M,1967,1463
Alexander,M,1968,1774
Alexander,M,1969,2026
Alexander,M,1970,2475
Alexander,M,1971,2367
Alexander,M,1972,2123
Alexander,M,1973,2259
Alexander,M,1974,2366
Alexander,M,1975,2443
Alexander,M,1976,2448
Alexander,M,1977,2711
Alexander,M,1978,2746
Alexander,M,1979,3060
Alexander,M,1980,3279
Alexander,M,1981,4239
Alexander,M,1982,4587
Alexander,M,1983,4802
Alexander,M,1984,6483
Alexander,M,1985,8286
Alexander,M,1986,10596
Alexander,M,1987,11827
Alexander,M,1988,13326
Alexander,M,1989,14518
Alexander,M,1990,16183
Alexander,M,1991,17635
Alexander,M,1992,20063
Alexander,M,1993,20522
Alexander,M,1994,20096
Alexander,M,1995,19446
Alexander,M,1996,17959
Alexander,M,1997,17110
Alexander,M,1998,17464
Alexander,M,1999,17414
Alexander,M,2000,17280
Alexander,M,2001,16714
Alexander,M,2002,17708
Alexander,M,2003,17705
Alexander,M,2004,17917
Alexander,M,2005,18110
Alexander,M,2006,18215
Alexander,M,2007,18128
Alexander,M,2008,18685
Alexander,M,2009,18217
Alexander,M,2010,16746
Alexander,M,2011,15688
Alexander,M,2012,15219
Alexander,M,2013,14871
Alexander,M,2014,15362
Alexander,M,2015,14460
