Name,Gender,BornYear,Count
Frank,M,1923,15910
Frank,M,1924,16041
Frank,M,1925,15332
Frank,M,1926,14491
Frank,M,1927,14380
Frank,M,1928,13570
Frank,M,1929,12951
Frank,M,1930,12536
Frank,M,1931,11468
Frank,M,1932,11491
Frank,M,1933,10960
Frank,M,1934,10635
Frank,M,1935,10416
Frank,M,1936,10191
Frank,M,1937,10124
Frank,M,1938,10256
Frank,M,1939,9985
Frank,M,1940,10596
Frank,M,1941,10789
Frank,M,1942,12242
Frank,M,1943,12248
Frank,M,1944,11335
Frank,M,1945,10868
Frank,M,1946,12668
Frank,M,1947,13996
Frank,M,1948,12698
Frank,M,1949,11957
Frank,M,1950,11622
Frank,M,1951,11460
Frank,M,1952,11279
Frank,M,1953,11156
Frank,M,1954,10991
Frank,M,1955,11102
Frank,M,1956,11138
Frank,M,1957,11262
Frank,M,1958,11313
Frank,M,1959,10930
Frank,M,1960,10764
Frank,M,1961,10421
Frank,M,1962,9756
Frank,M,1963,9534
Frank,M,1964,9340
Frank,M,1965,8321
Frank,M,1966,7794
Frank,M,1967,7429
Frank,M,1968,6897
Frank,M,1969,6925
Frank,M,1970,6803
Frank,M,1971,6090
Frank,M,1972,5172
Frank,M,1973,4791
Frank,M,1974,4362
Frank,M,1975,4210
Frank,M,1976,3898
Frank,M,1977,3893
Frank,M,1978,3773
Frank,M,1979,3930
Frank,M,1980,3737
Frank,M,1981,3635
Frank,M,1982,3604
Frank,M,1983,3359
Frank,M,1984,3329
Frank,M,1985,3297
Frank,M,1986,3174
Frank,M,1987,3125
Frank,M,1988,3268
Frank,M,1989,3048
Frank,M,1990,3186
Frank,M,1991,2875
Frank,M,1992,2755
Frank,M,1993,2503
Frank,M,1994,2478
Frank,M,1995,2246
Frank,M,1996,2146
Frank,M,1997,2022
Frank,M,1998,1884
Frank,M,1999,1854
Frank,M,2000,1708
Frank,M,2001,1634
Frank,M,2002,1588
Frank,M,2003,1499
Frank,M,2004,1464
Frank,M,2005,1479
Frank,M,2006,1400
Frank,M,2007,1327
Frank,M,2008,1227
Frank,M,2009,1136
Frank,M,2010,1072
Frank,M,2011,1044
Frank,M,2012,985
Frank,M,2013,1005
Frank,M,2014,988
Frank,M,2015,937
