Name,Gender,BornYear,Count
Carl,M,1923,6871
Carl,M,1924,7088
Carl,M,1925,7058
Carl,M,1926,6941
Carl,M,1927,7277
Carl,M,1928,6946
Carl,M,1929,6890
Carl,M,1930,6954
Carl,M,1931,6581
Carl,M,1932,6708
Carl,M,1933,6190
Carl,M,1934,6680
Carl,M,1935,6695
Carl,M,1936,6588
Carl,M,1937,6908
Carl,M,1938,6844
Carl,M,1939,6594
Carl,M,1940,6754
Carl,M,1941,7161
Carl,M,1942,7268
Carl,M,1943,7465
Carl,M,1944,6819
Carl,M,1945,6313
Carl,M,1946,7379
Carl,M,1947,8048
Carl,M,1948,7829
Carl,M,1949,7691
Carl,M,1950,7292
Carl,M,1951,7632
Carl,M,1952,7821
Carl,M,1953,7825
Carl,M,1954,8135
Carl,M,1955,8291
Carl,M,1956,8305
Carl,M,1957,8190
Carl,M,1958,7721
Carl,M,1959,7504
Carl,M,1960,7808
Carl,M,1961,7248
Carl,M,1962,6855
Carl,M,1963,7133
Carl,M,1964,6663
Carl,M,1965,5800
Carl,M,1966,5226
Carl,M,1967,4896
Carl,M,1968,4647
Carl,M,1969,4528
Carl,M,1970,4400
Carl,M,1971,4061
Carl,M,1972,3409
Carl,M,1973,3016
Carl,M,1974,2896
Carl,M,1975,2813
Carl,M,1976,2673
Carl,M,1977,2618
Carl,M,1978,2608
Carl,M,1979,2900
Carl,M,1980,2934
Carl,M,1981,2791
Carl,M,1982,2804
Carl,M,1983,2603
Carl,M,1984,2561
Carl,M,1985,2525
Carl,M,1986,2441
Carl,M,1987,2220
Carl,M,1988,2317
Carl,M,1989,2258
Carl,M,1990,2189
Carl,M,1991,1921
Carl,M,1992,1779
Carl,M,1993,1585
Carl,M,1994,1416
Carl,M,1995,1381
Carl,M,1996,1183
Carl,M,1997,1093
Carl,M,1998,1146
Carl,M,1999,996
Carl,M,2000,988
Carl,M,2001,880
Carl,M,2002,784
Carl,M,2003,774
Carl,M,2004,750
Carl,M,2005,651
Carl,M,2006,657
Carl,M,2007,625
Carl,M,2008,557
Carl,M,2009,519
Carl,M,2010,446
Carl,M,2011,424
Carl,M,2012,486
Carl,M,2013,443
Carl,M,2014,434
Carl,M,2015,452
