Name,Gender,BornYear,Count
Anna,F,1923,12864
Anna,F,1924,13079
Anna,F,1925,12250
Anna,F,1926,11699
Anna,F,1927,11215
Anna,F,1928,10570
Anna,F,1929,9751
Anna,F,1930,9079
Anna,F,1931,8429
Anna,F,1932,7920
Anna,F,1933,7072
Anna,F,1934,6678
Anna,F,1935,6163
Anna,F,1936,5724
Anna,F,1937,5448
Anna,F,1938,5139
Anna,F,1939,4931
Anna,F,1940,4718
Anna,F,1941,4430
Anna,F,1942,4487
Anna,F,1943,4232
Anna,F,1944,3635
Anna,F,1945,3608
Anna,F,1946,3998
Anna,F,1947,4239
Anna,F,1948,4038
Anna,F,1949,3896
Anna,F,1950,3817
Anna,F,1951,3866
Anna,F,1952,3715
Anna,F,1953,3837
Anna,F,1954,3994
Anna,F,1955,4093
Anna,F,1956,4384
Anna,F,1957,4445
Anna,F,1958,4659
Anna,F,1959,4870
Anna,F,1960,4653
Anna,F,1961,4665
Anna,F,1962,4440
Anna,F,1963,4246
Anna,F,1964,4285
Anna,F,1965,3920
Anna,F,1966,3670
Anna,F,1967,3717
Anna,F,1968,3558
Anna,F,1969,3715
Anna,F,1970,3794
Anna,F,1971,3574
Anna,F,1972,3445
Anna,F,1973,3497
Anna,F,1974,3610
Anna,F,1975,3570
Anna,F,1976,3582
Anna,F,1977,3851
Anna,F,1978,4167
Anna,F,1979,4664
Anna,F,1980,5032
Anna,F,1981,5187
Anna,F,1982,5269
Anna,F,1983,5219
Anna,F,1984,5304
Anna,F,1985,5881
Anna,F,1986,5904
Anna,F,1987,6162
Anna,F,1988,6438
Anna,F,1989,6892
Anna,F,1990,7290
Anna,F,1991,7115
Anna,F,1992,6845
Anna,F,1993,6805
Anna,F,1994,7522
Anna,F,1995,8559
Anna,F,1996,8554
Anna,F,1997,8336
Anna,F,1998,8374
Anna,F,1999,9092
Anna,F,2000,10581
Anna,F,2001,10570
Anna,F,2002,10383
Anna,F,2003,9440
Anna,F,2004,9512
Anna,F,2005,9097
Anna,F,2006,8600
Anna,F,2007,7883
Anna,F,2008,7262
Anna,F,2009,6797
Anna,F,2010,6315
Anna,F,2011,5649
Anna,F,2012,5604
Anna,F,2013,5363
Anna,F,2014,5663
Anna,F,2015,5094
