Name,Gender,BornYear,Count
Larry,M,1923,517
Larry,M,1924,577
Larry,M,1925,724
Larry,M,1926,806
Larry,M,1927,837
Larry,M,1928,1069
Larry,M,1929,1268
Larry,M,1930,1721
Larry,M,1931,2145
Larry,M,1932,2822
Larry,M,1933,3251
Larry,M,1934,4470
Larry,M,1935,5977
Larry,M,1936,7612
Larry,M,1937,10320
Larry,M,1938,12385
Larry,M,1939,14525
Larry,M,1940,17201
Larry,M,1941,20129
Larry,M,1942,22096
Larry,M,1943,22966
Larry,M,1944,22022
Larry,M,1945,22820
Larry,M,1946,28437
Larry,M,1947,34939
Larry,M,1948,33426
Larry,M,1949,31810
Larry,M,1950,31489
Larry,M,1951,30523
Larry,M,1952,28243
Larry,M,1953,25186
Larry,M,1954,24593
Larry,M,1955,22814
Larry,M,1956,22294
Larry,M,1957,21913
Larry,M,1958,20065
Larry,M,1959,18415
Larry,M,1960,15993
Larry,M,1961,14578
Larry,M,1962,12710
Larry,M,1963,11674
Larry,M,1964,10674
Larry,M,1965,9407
Larry,M,1966,8714
Larry,M,1967,8329
Larry,M,1968,8232
Larry,M,1969,8288
Larry,M,1970,8112
Larry,M,1971,7761
Larry,M,1972,6610
Larry,M,1973,6080
Larry,M,1974,5696
Larry,M,1975,5313
Larry,M,1976,4843
Larry,M,1977,4839
Larry,M,1978,4514
Larry,M,1979,4393
Larry,M,1980,4269
Larry,M,1981,3951
Larry,M,1982,3718
Larry,M,1983,3381
Larry,M,1984,3105
Larry,M,1985,2947
Larry,M,1986,2622
Larry,M,1987,2501
Larry,M,1988,2448
Larry,M,1989,2338
Larry,M,1990,2194
Larry,M,1991,2073
Larry,M,1992,1862
Larry,M,1993,1780
Larry,M,1994,1559
Larry,M,1995,1401
Larry,M,1996,1371
Larry,M,1997,1238
Larry,M,1998,1208
Larry,M,1999,1255
Larry,M,2000,1118
Larry,M,2001,1029
Larry,M,2002,952
Larry,M,2003,949
Larry,M,2004,898
Larry,M,2005,828
Larry,M,2006,791
Larry,M,2007,962
Larry,M,2008,822
Larry,M,2009,781
Larry,M,2010,810
Larry,M,2011,716
Larry,M,2012,655
Larry,M,2013,580
Larry,M,2014,543
Larry,M,2015,510
