Name,Gender,BornYear,Count
Eric,M,1923,175
Eric,M,1924,228
Eric,M,1925,212
Eric,M,1926,214
Eric,M,1927,209
Eric,M,1928,221
Eric,M,1929,204
Eric,M,1930,206
Eric,M,1931,213
Eric,M,1932,199
Eric,M,1933,234
Eric,M,1934,259
Eric,M,1935,288
Eric,M,1936,296
Eric,M,1937,301
Eric,M,1938,370
Eric,M,1939,431
Eric,M,1940,482
Eric,M,1941,703
Eric,M,1942,867
Eric,M,1943,1171
Eric,M,1944,1195
Eric,M,1945,1351
Eric,M,1946,1823
Eric,M,1947,2344
Eric,M,1948,2489
Eric,M,1949,2769
Eric,M,1950,3097
Eric,M,1951,3660
Eric,M,1952,3986
Eric,M,1953,3934
Eric,M,1954,4172
Eric,M,1955,4659
Eric,M,1956,5249
Eric,M,1957,6619
Eric,M,1958,8189
Eric,M,1959,9724
Eric,M,1960,10531
Eric,M,1961,11109
Eric,M,1962,12353
Eric,M,1963,13281
Eric,M,1964,14564
Eric,M,1965,16835
Eric,M,1966,16478
Eric,M,1967,17828
Eric,M,1968,18512
Eric,M,1969,20771
Eric,M,1970,23591
Eric,M,1971,22979
Eric,M,1972,22043
Eric,M,1973,20814
Eric,M,1974,20189
Eric,M,1975,19820
Eric,M,1976,21377
Eric,M,1977,20747
Eric,M,1978,19776
Eric,M,1979,20272
Eric,M,1980,22623
Eric,M,1981,20725
Eric,M,1982,19870
Eric,M,1983,20341
Eric,M,1984,20946
Eric,M,1985,20836
Eric,M,1986,19525
Eric,M,1987,20199
Eric,M,1988,20158
Eric,M,1989,18976
Eric,M,1990,19412
Eric,M,1991,18046
Eric,M,1992,16135
Eric,M,1993,14543
Eric,M,1994,13309
Eric,M,1995,12478
Eric,M,1996,11607
Eric,M,1997,10318
Eric,M,1998,9962
Eric,M,1999,9379
Eric,M,2000,9154
Eric,M,2001,8559
Eric,M,2002,7926
Eric,M,2003,7784
Eric,M,2004,7132
Eric,M,2005,6693
Eric,M,2006,6227
Eric,M,2007,5951
Eric,M,2008,5372
Eric,M,2009,4636
Eric,M,2010,4192
Eric,M,2011,3739
Eric,M,2012,3623
Eric,M,2013,3252
Eric,M,2014,3304
Eric,M,2015,3028
