Name,Gender,BornYear,Count
Patrick,M,1923,1055
Patrick,M,1924,1121
Patrick,M,1925,1153
Patrick,M,1926,1221
Patrick,M,1927,1253
Patrick,M,1928,1321
Patrick,M,1929,1442
Patrick,M,1930,1532
Patrick,M,1931,1570
Patrick,M,1932,1579
Patrick,M,1933,1571
Patrick,M,1934,1703
Patrick,M,1935,1664
Patrick,M,1936,1856
Patrick,M,1937,2090
Patrick,M,1938,2291
Patrick,M,1939,2530
Patrick,M,1940,2883
Patrick,M,1941,3155
Patrick,M,1942,3804
Patrick,M,1943,3847
Patrick,M,1944,3882
Patrick,M,1945,3855
Patrick,M,1946,5306
Patrick,M,1947,6620
Patrick,M,1948,7191
Patrick,M,1949,8076
Patrick,M,1950,8184
Patrick,M,1951,8749
Patrick,M,1952,9177
Patrick,M,1953,9474
Patrick,M,1954,9908
Patrick,M,1955,9866
Patrick,M,1956,10333
Patrick,M,1957,10341
Patrick,M,1958,10236
Patrick,M,1959,10551
Patrick,M,1960,10371
Patrick,M,1961,11055
Patrick,M,1962,10487
Patrick,M,1963,12068
Patrick,M,1964,14705
Patrick,M,1965,12948
Patrick,M,1966,12418
Patrick,M,1967,12976
Patrick,M,1968,13055
Patrick,M,1969,12689
Patrick,M,1970,11747
Patrick,M,1971,10811
Patrick,M,1972,9280
Patrick,M,1973,8483
Patrick,M,1974,8140
Patrick,M,1975,8062
Patrick,M,1976,7640
Patrick,M,1977,8314
Patrick,M,1978,8846
Patrick,M,1979,9986
Patrick,M,1980,10353
Patrick,M,1981,10390
Patrick,M,1982,10696
Patrick,M,1983,10873
Patrick,M,1984,11512
Patrick,M,1985,11633
Patrick,M,1986,11399
Patrick,M,1987,11139
Patrick,M,1988,11388
Patrick,M,1989,11982
Patrick,M,1990,12373
Patrick,M,1991,12413
Patrick,M,1992,11404
Patrick,M,1993,9855
Patrick,M,1994,9331
Patrick,M,1995,8672
Patrick,M,1996,8194
Patrick,M,1997,7487
Patrick,M,1998,6732
Patrick,M,1999,6444
Patrick,M,2000,6293
Patrick,M,2001,5786
Patrick,M,2002,5152
Patrick,M,2003,4789
Patrick,M,2004,4440
Patrick,M,2005,4041
Patrick,M,2006,3944
Patrick,M,2007,3733
Patrick,M,2008,3333
Patrick,M,2009,3246
Patrick,M,2010,3128
Patrick,M,2011,2861
Patrick,M,2012,2808
Patrick,M,2013,2589
Patrick,M,2014,2668
Patrick,M,2015,2520
