Name,Gender,BornYear,Count
Marie,F,1923,11507
Marie,F,1924,11580
Marie,F,1925,10930
Marie,F,1926,10628
Marie,F,1927,10314
Marie,F,1928,9292
Marie,F,1929,9158
Marie,F,1930,8427
Marie,F,1931,7544
Marie,F,1932,6909
Marie,F,1933,6238
Marie,F,1934,6325
Marie,F,1935,6294
Marie,F,1936,6131
Marie,F,1937,6074
Marie,F,1938,5961
Marie,F,1939,5890
Marie,F,1940,5542
Marie,F,1941,6151
Marie,F,1942,6557
Marie,F,1943,5979
Marie,F,1944,5295
Marie,F,1945,5082
Marie,F,1946,5759
Marie,F,1947,6059
Marie,F,1948,5784
Marie,F,1949,5309
Marie,F,1950,5223
Marie,F,1951,5045
Marie,F,1952,4974
Marie,F,1953,4954
Marie,F,1954,5313
Marie,F,1955,4923
Marie,F,1956,4795
Marie,F,1957,4861
Marie,F,1958,4488
Marie,F,1959,4679
Marie,F,1960,4723
Marie,F,1961,4342
Marie,F,1962,4021
Marie,F,1963,4006
Marie,F,1964,3789
Marie,F,1965,3487
Marie,F,1966,3082
Marie,F,1967,2737
Marie,F,1968,2374
Marie,F,1969,2245
Marie,F,1970,2188
Marie,F,1971,2006
Marie,F,1972,1762
Marie,F,1973,1619
Marie,F,1974,1512
Marie,F,1975,1633
Marie,F,1976,1764
Marie,F,1977,1911
Marie,F,1978,1863
Marie,F,1979,1879
Marie,F,1980,1946
Marie,F,1981,1985
Marie,F,1982,1921
Marie,F,1983,1750
Marie,F,1984,1586
Marie,F,1985,1508
Marie,F,1986,1523
Marie,F,1987,1496
Marie,F,1988,1436
Marie,F,1989,1376
Marie,F,1990,1340
Marie,F,1991,1263
Marie,F,1992,1164
Marie,F,1993,1052
Marie,F,1994,919
Marie,F,1995,854
Marie,F,1996,812
Marie,F,1997,792
Marie,F,1998,790
Marie,F,1999,823
Marie,F,2000,785
Marie,F,2001,722
Marie,F,2002,684
Marie,F,2003,568
Marie,F,2004,600
Marie,F,2005,590
Marie,F,2006,516
Marie,F,2007,549
Marie,F,2008,565
Marie,F,2009,536
Marie,F,2010,515
Marie,F,2011,480
Marie,F,2012,514
Marie,F,2013,505
Marie,F,2014,525
Marie,F,2015,544
